timestamp,sGrade,mCS,vmd,fpf,rf,efpf
2023-03-10T20:48:41Z,F,17.01175030734778,11.65916729,0.06530963227144,0.36988995835174004,0
2023-03-10T20:48:57Z,F,20.105989019081388,11.65916729,0.05950567334883,0.37627628892673004,0
2023-03-10T20:49:31Z,F,17.54821991258722,15.84896278,0.051760389655892,0.253945860713692,0
2023-03-10T20:49:33Z,F,18.93073485957389,18.4785347,0.0354066159855487,0.1921596219670487,0
2023-03-10T20:49:54Z,F,20.65918560615062,541.17059326,0.00231918513775,0.00231918513775,0.00231918513775
2023-03-10T20:50:04Z,F,18.37157306986028,13.59359074,0.04331935670684381,0.28458919790094384,0
2023-03-10T20:50:05Z,D,34.26786806848333,18.4785347,0.107753363959512,0.24635176312191198,0.06677006017418
2023-03-10T20:50:06Z,C,79.68847158221945,39.81079483,0.050411958284685005,0.080130678005515,0.027023367472005
2023-03-10T20:50:07Z,F,16.469747304910832,29.28650284,0.08008398745208799,0.118215341307208,0.053517599888138
2023-03-10T20:50:15Z,F,18.181051946353332,25.11891365,0,0,0
2023-03-10T20:50:17Z,F,15.099706841837222,25.11891365,0,0,0
2023-03-10T20:50:19Z,F,23.507968008516112,25.11891365,0.028480752594759,0.054674181826399,4.8478472977899997e-4
2023-03-10T20:50:20Z,D,38.90898226366361,25.11891365,0,0,0
2023-03-10T20:50:22Z,D,57.47741174697778,29.28650284,0.08742233633994001,0.15824108123784,0.051026879698040005
2023-03-10T20:50:25Z,D,42.66090899043667,25.11891365,0.039002286642771,0.11114422127607099,0
2023-03-10T20:50:50Z,D,38.33003921522487,541.17059326,0.0027479237318,0.0027479237318,0.0027479237318
2023-03-10T20:50:51Z,D,53.848434978058336,18.4785347,0.0984069824954232,0.2649669957895232,0.05559764332966321
2023-03-10T20:51:01Z,F,15.32667971154161,11.65916729,0.05646225124591,0.36163310676800997,0
2023-03-10T20:51:07Z,F,24.84470427036278,13.59359074,0.040728853344860004,0.26131595909576,0
2023-03-10T20:51:10Z,D,39.35634247461472,18.4785347,0.040413257479692,0.192112376093892,0
2023-03-10T20:51:25Z,D,41.46806014908056,39.81079483,0.0628879171982336,0.1676641458646336,0.035764477308834
2023-03-10T20:51:56Z,D,25.292809512885,34.1455574,0.0392951344512357,0.0550627978704957,0.014989628102625701
2023-03-10T20:52:10Z,B,162.51469961796667,46.41598129,0.059279272425908996,0.096925564277859,0.033728221226479
2023-03-10T20:52:27Z,F,17.836270544264444,25.11891365,0.0370894958707572,0.1043065585824572,0.0104153060051672
2023-03-10T20:52:38Z,D,42.99255596266944,25.11891365,0.0722751958749224,0.18306196526502241,0.0371353823027894
2023-03-10T20:52:39Z,B,222.15283711748611,39.81079483,0.051991234160964996,0.103400697447305,0.030411032177515
2023-03-10T20:52:40Z,D,51.984102831925,25.11891365,0.038344393838199,0.138106138575799,0.019551322665065998
2023-03-10T20:52:43Z,F,16.737639453678057,29.28650284,0.039196823630492,0.127853892836792,0.016932951752105
2023-03-10T20:52:46Z,D,40.292330053116665,29.28650284,0.087475615926066,0.16576721686856602,0.054027994461356005
