Date-Time	Sc[0]	Sc[1]	Sc[2]	Sc[3]	Sc[4]	Sc[5]	Sc[6]	Sc[7]	Sc[8]	Sc[9]	Sc[10]	Sc[11]	Sc[12]	Sc[13]	Sc[14]	Sc[15]	Sc[16]	Sc[17]	Sc[18]	Sc[19]	Sc[20]	Sc[21]	Sc[22]	Sc[23]	Sc[24]	Sc[25]	Sc[26]	Sc[27]	Sc[28]	Sc[29]	Sc[30]	Sc[31]	Sc[32]	Sc[33]	Sc[34]	Sc[35]	Sc[36]	Sc[M]
Mar 10 2023 19:29:58	28381.0117188	0	0	0	0.0483140610158	0.120973706245	0.095614425838	0.144766181707	0.0819807872176	0.117689713836	0.0602636002004	0.0662635043263	0.0428167283535	0.121347375214	0.0552163608372	0.0936864092946	0.0741003006697	0.119770213962	0.131661891937	0.111880838871	0.110181085765	0.139702275395	0.163228049874	0.200904160738	0.172417998314	0.25210377574	0.196378260851	0.274617165327	0.292875945568	0.391940712929	0.374010771513	0.50644749403	0.434037446976	0.62754368782	0.671357393265	0.737522780895	0.944676458836	0
Mar 10 2023 19:29:59	20013.9804688	472.268890381	388.269958496	282.64050293	214.422897339	169.689239502	146.144165039	126.587844849	122.109848022	122.272422791	131.193161011	142.465393066	158.501312256	176.820861816	198.553421021	218.397277832	238.80581665	252.755065918	261.091308594	263.840393066	258.988372803	251.322433472	239.187835693	220.857147217	197.379577637	169.353637695	144.187530518	124.992149353	111.758460999	104.402023315	101.625732422	103.854858398	106.352577209	112.31893158	116.231269836	115.235466003	112.917152405	0
Mar 10 2023 19:30:00	20790.0546875	371.734436035	289.803924561	205.539138794	156.49810791	123.270050049	107.529502869	98.8532409668	97.8386611938	102.429389954	111.910751343	123.992843628	140.919662476	160.268783569	182.492828369	206.178588867	231.027435303	252.451278687	270.545043945	285.547271729	292.937194824	293.13394165	283.525939941	263.118225098	234.811706543	199.090179443	164.617370605	137.20425415	116.64515686	103.697509766	96.1458511353	95.0060119629	94.1706390381	98.6169128418	100.266265869	99.6329116821	96.7205963135	0
Mar 10 2023 19:30:01	20372.3867188	336.53817749	265.755981445	190.185501099	146.795837402	119.359443665	105.552970886	98.2436828613	98.3606491089	102.880683899	113.57144928	126.857810974	144.080444336	164.003646851	187.432144165	212.229156494	238.763824463	263.008789063	284.410614014	301.953460693	312.209594727	314.004211426	304.236541748	283.147796631	252.899337769	214.491195679	177.14604187	147.200622559	124.895027161	110.411529541	101.909736633	100.232772827	99.3875198364	104.196388245	106.103561401	105.781036377	103.170646667	0
Mar 10 2023 19:30:02	20870.5078125	346.507568359	283.877197266	206.246109009	157.004730225	123.489944458	105.972877502	92.8897781372	91.2600021362	94.813079834	104.612510681	115.399658203	130.005340576	147.082885742	167.83706665	190.569671631	214.514678955	236.800338745	256.724029541	272.445281982	281.250701904	281.905853271	271.518310547	249.980621338	221.569320679	187.086135864	155.078079224	129.720092773	111.124305725	99.0826034546	92.6406173706	91.7250061035	91.6870117188	96.5696563721	98.8050460815	98.6761779785	96.4320678711	0
Mar 10 2023 19:30:03	20991.3964844	457.174743652	351.122406006	243.325973511	183.316421509	140.534744263	116.808074951	100.874191284	95.2622528076	94.7359466553	99.692817688	108.320205688	121.609870911	138.061859131	156.964508057	177.156448364	198.388153076	217.095794678	233.494781494	245.63494873	252.152130127	252.922286987	244.976913452	229.299499512	206.679000854	177.434066772	148.793716431	125.549827576	108.480163574	97.8106842041	92.2503967285	92.4369735718	92.8504943848	98.8545455933	100.375869751	100.712043762	95.7291412354	0
Mar 10 2023 19:30:04	21902.1835938	350.349761963	268.125213623	184.691085815	135.46295166	104.154830933	90.4544677734	82.8692703247	83.3117370605	86.134223938	93.2400436401	101.614349365	115.014518738	130.567626953	147.696014404	164.532241821	182.33807373	196.428451538	207.805435181	214.654159546	216.297973633	215.892868042	209.047576904	196.210388184	177.530410767	152.69909668	128.343673706	108.253189087	93.4064941406	84.6113357544	80.2580108643	80.9470062256	81.7486419678	86.9077148438	88.6790924072	88.7865905762	86.3386230469	0
Mar 10 2023 19:30:05	21020.1914063	386.877960205	295.811645508	205.596939087	151.38243103	113.297950745	93.83152771	84.6586151123	82.3537750244	85.4976501465	91.7504882813	100.403877258	113.966522217	130.234664917	148.626541138	167.482254028	186.452774048	203.437698364	216.994049072	227.725326538	231.584838867	231.654342651	224.745437622	210.713897705	190.773681641	164.812103271	139.978408813	120.083503723	105.464698792	96.8777542114	92.6094512939	94.1199645996	95.174331665	101.79284668	103.345451355	103.622024536	100.488800049	0
Mar 10 2023 19:30:06	23214.1113281	396.370819092	301.071258545	207.708908081	152.108566284	107.410133362	83.9652023315	68.7856750488	60.5425338745	56.5568122864	57.5608406067	62.8876075745	73.0050125122	84.7534484863	97.8914794922	111.401496887	126.456451416	139.462310791	151.402191162	161.091751099	167.268051147	169.107650757	165.174697876	154.981140137	140.451721191	121.3543396	102.777603149	87.5663909912	76.4957275391	69.5692749023	66.221282959	66.6946792603	67.4002685547	71.7079544067	73.0984115601	72.851234436	70.6661758423	0
Mar 10 2023 19:30:07	22653.4550781	282.821136475	231.646881104	171.070114136	134.625335693	110.422470093	96.1208114624	84.1613311768	82.5118484497	84.3996200562	91.363067627	100.445854187	113.009124756	127.597343445	144.835144043	163.818756104	182.90524292	201.584747314	218.887512207	231.495574951	238.119186401	237.545654297	227.350646973	207.863830566	183.419036865	154.83152771	128.482147217	106.933547974	91.1801147461	81.0861740112	75.5764846802	74.6294250488	74.1827545166	77.889503479	78.6056518555	78.0861053467	75.0840072632	0
