Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:03:43	21030.93	964.43	914.53	602.98	591.42	379.61	331.23	235.46	209.35	170.41	173.67	152.99	140.11	129.86	126.90	124.85	127.02	127.61	122.76	123.02	111.87	107.68	99.80	99.60	95.87	93.11	85.46	84.23	83.34	88.93	93.65	103.66	110.09	121.66	123.86	122.58	117.66	979.67
Feb 22 2023 18:03:44	22233.38	997.19	1011.68	578.23	590.09	368.86	326.95	227.51	199.06	158.00	159.98	136.22	119.03	106.37	97.56	93.28	90.82	89.03	86.43	85.04	77.67	75.13	69.51	70.61	68.14	68.49	64.08	65.35	65.59	71.30	75.73	84.61	90.81	101.09	104.21	103.85	101.07	979.66
Feb 22 2023 18:03:45	21123.98	1257.15	1107.41	654.12	629.89	417.81	354.89	256.35	222.27	181.32	178.07	158.52	143.57	134.71	130.28	129.11	129.37	128.00	124.71	121.28	110.04	103.09	94.30	93.75	90.48	88.62	81.41	80.28	79.09	84.38	89.11	98.76	105.54	116.70	119.60	118.05	113.19	979.69
Feb 22 2023 18:03:46	23891.89	958.25	978.70	577.73	603.12	377.98	338.18	233.97	208.13	165.33	167.83	145.00	126.14	113.14	105.41	101.72	99.49	97.00	91.98	88.03	76.97	70.29	61.70	61.02	57.56	57.20	51.59	52.06	50.61	54.44	56.65	63.06	66.85	74.30	76.18	75.54	73.35	979.71
Feb 22 2023 18:03:47	22653.94	1011.82	1034.91	651.96	673.31	428.14	382.52	269.98	241.03	193.62	197.27	174.77	159.94	149.83	147.57	147.18	148.58	148.00	142.48	134.34	116.73	102.85	88.53	84.68	80.04	77.18	68.89	67.19	64.83	68.46	71.08	77.69	82.17	89.59	92.21	90.72	88.09	979.71
Feb 22 2023 18:03:48	22827.07	791.61	781.08	555.70	555.86	367.47	323.92	234.74	208.13	172.83	177.05	157.48	140.10	129.52	124.06	123.16	123.45	124.25	120.00	116.72	103.76	95.59	84.59	82.31	78.01	75.98	68.06	66.67	64.23	67.91	70.48	77.88	82.09	90.96	91.84	90.84	88.51	979.73
Feb 22 2023 18:03:49	18441.62	1000.74	943.71	574.77	582.58	377.87	341.51	256.00	232.33	195.94	201.27	185.34	181.92	177.88	181.63	185.24	192.95	191.11	186.97	181.86	164.01	150.65	136.98	133.85	129.69	125.03	115.22	113.18	112.52	119.78	127.10	140.71	149.99	165.48	169.14	167.58	161.23	979.74
Feb 22 2023 18:03:50	21987.97	897.99	1005.06	553.04	592.27	367.37	344.71	237.98	218.96	177.53	184.04	164.32	152.66	143.54	140.76	140.27	141.77	138.99	135.66	129.03	114.48	103.17	90.91	88.00	83.44	81.08	73.65	73.04	71.99	77.18	80.88	89.88	95.41	106.18	108.27	107.70	104.11	979.78
Feb 22 2023 18:03:51	19831.08	1038.81	1025.26	662.41	629.17	409.13	358.97	260.10	229.30	188.13	192.22	171.87	163.73	157.24	159.77	162.29	168.10	170.04	164.90	161.27	144.81	133.37	120.30	116.76	112.13	108.28	99.09	97.40	96.15	102.27	107.55	118.88	125.64	138.44	140.04	137.80	130.95	979.77
Feb 22 2023 18:03:52	18601.39	1507.13	1678.06	834.17	902.56	493.19	476.26	297.18	269.40	193.55	189.08	157.45	145.76	132.34	128.96	125.06	126.66	124.92	119.61	118.83	107.46	102.49	94.43	94.87	92.92	93.21	89.17	91.52	93.63	102.31	110.30	123.58	133.49	148.53	154.33	154.36	151.22	979.81
