name,eth,n,VMD_Mean_MEDIAN,VMD_Mean_MEAN,VMD_Mean_STDEV,FPF_Mean_MEAN,FPF_Mean_STDEV,RF_Mean_MEAN,RF_Mean_STDEV,eFPF_Mean_MEAN,eFPF_Mean_STDEV
Water,0,3,398.10794067,392.67798685843724,38.13505301424212,0.07274095409060591,0.012820830431583184,0.13778435343007767,0.026553368190641913,0.05358613649565359,0.009308394350191578
5% Ethanol,5,3,20.01146221,75.99470773136811,3.4768414680203628,0.08453399570390938,0.011074444113149463,0.220149848752284,0.0070268117602550854,0.054840952973133704,0.007887988932374074
10% Ethanol,10,3,46.41598129,239.40246890857142,249.64046548064678,0.06774546944301979,0.0241977179347218,0.13390631322689217,0.08083072037234564,0.044402879308357554,0.01558829047285262
25% Ethanol,25,1,43.11338806,43.11338806,NA,0.05563525329343699,NA,0.100163130862582,NA,0.032069626701997,NA
