Min Scattering Error Threshold,Detector Range,Particle Diameter Setting,Filename,MMAD,RF,FPF
25,13-Last,1 um - 100 um,Exp020-25-13_Last-0um100um.txt,,,
25,14-Last,1 um - 100 um,Exp020-25-14_Last-0um100um.txt,,,
25,15-Last,1 um - 100 um,Exp020-25-15_Last-0um100um.txt,,,
25,16-Last,1 um - 100 um,Exp020-25-16_Last-0um100um.txt,,,
25,17-Last,1 um - 100 um,Exp020-25-17_Last-0um100um.txt,,,
25,18-Last,1 um - 100 um,Exp020-25-18_Last-0um100um.txt,,,
25,19-Last,1 um - 100 um,Exp020-25-19_Last-0um100um.txt,,,
25,20-Last,1 um - 100 um,Exp020-25-20_Last-0um100um.txt,,,
25,21-Last,1 um - 100 um,Exp020-25-21_Last-0um100um.txt,,,
25,22-Last,1 um - 100 um,Exp020-25-22_Last-0um100um.txt,,,
25,23-Last,1 um - 100 um,Exp020-25-23_Last-0um100um.txt,,,
25,24-Last,1 um - 100 um,Exp020-25-24_Last-0um100um.txt,,,
25,25-Last,1 um - 100 um,Exp020-25-25_Last-0um100um.txt,,,
25,1-Last-1,1 um - 100 um,Exp020-25-1_Last-1-0um100um.txt,,,
25,1-Last-2,1 um - 100 um,Exp020-25-1_Last-2-0um100um.txt,,,
25,1-Last-3,1 um - 100 um,Exp020-25-1_Last-3-0um100um.txt,,,
25,1-Last-4,1 um - 100 um,Exp020-25-1_Last-4-0um100um.txt,,,
25,1-Last-5,1 um - 100 um,Exp020-25-1_Last-5-0um100um.txt,,,
25,1-Last-6,1 um - 100 um,Exp020-25-1_Last-6-0um100um.txt,,,
25,1-Last-7,1 um - 100 um,Exp020-25-1_Last-7-0um100um.txt,,,
25,1-Last-8,1 um - 100 um,Exp020-25-1_Last-8-0um100um.txt,,,
25,1-Last-9,1 um - 100 um,Exp020-25-1_Last-9-0um100um.txt,,,
25,1-Last-10,1 um - 100 um,Exp020-25-1_Last-10-0um100um.txt,,,
25,1-Last-11,1 um - 100 um,Exp020-25-1_Last-11-0um100um.txt,,,
25,1-Last-12,1 um - 100 um,Exp020-25-1_Last-12-0um100um.txt,,,
