Date-Time	Sc[0]	Sc[1]	Sc[2]	Sc[3]	Sc[4]	Sc[5]	Sc[6]	Sc[7]	Sc[8]	Sc[9]	Sc[10]	Sc[11]	Sc[12]	Sc[13]	Sc[14]	Sc[15]	Sc[16]	Sc[17]	Sc[18]	Sc[19]	Sc[20]	Sc[21]	Sc[22]	Sc[23]	Sc[24]	Sc[25]	Sc[26]	Sc[27]	Sc[28]	Sc[29]	Sc[30]	Sc[31]	Sc[32]	Sc[33]	Sc[34]	Sc[35]	Sc[36]	Sc[M]
Mar 10 2023 20:13:06	27756.0507813	36.6395454407	25.7672729492	16.3285312653	10.6756544113	9.05989742279	9.13857460022	10.7048826218	11.5143327713	13.5029773712	15.2324800491	17.589805603	20.5211009979	23.7742595673	27.0535068512	29.7418060303	32.5773429871	34.3915901184	34.300693512	33.6718788147	30.8429718018	29.1973838806	26.4942131042	24.408914566	21.71525383	18.2873420715	14.913274765	12.1851768494	9.92914581299	8.52281188965	7.57701206207	7.23651504517	6.99152374268	7.28521347046	7.24335098267	7.33413267136	7.73973083496	0
Mar 10 2023 20:13:07	27424.7558594	63.9836158752	45.9830856323	31.3429107666	22.4372615814	17.3161201477	16.4479293823	17.5695571899	18.2758083344	20.7822246552	23.3189983368	27.0151405334	31.52302742	36.5739555359	41.5229148865	46.2132530212	51.0713920593	53.7854957581	54.5174217224	53.7246284485	50.1220703125	47.1966629028	43.2459831238	39.6298065186	35.2190208435	29.8646850586	24.4524097443	19.9371795654	16.2278804779	13.8070850372	12.1105308533	11.4164066315	10.8950986862	11.2252845764	11.1508302689	11.1808099747	11.524058342	0
Mar 10 2023 20:13:08	26506.2421875	65.407875061	50.8797264099	36.1991767883	29.2833328247	27.9969463348	29.1939620972	33.5913734436	38.4654426575	44.8978500366	52.2260169983	60.8026161194	70.9245605469	81.3870315552	92.5012130737	102.324180603	112.073295593	118.001022339	119.044082642	117.517845154	110.489082336	103.481506348	94.7833251953	85.7560806274	75.5204467773	63.2247428894	51.2589111328	41.4322929382	33.4988479614	28.1628837585	24.4696540833	22.8692264557	21.7430667877	22.295419693	22.3576774597	22.3253288269	22.5349292755	0
Mar 10 2023 20:13:09	24123.5097656	201.605621338	166.18951416	129.726745605	107.391624451	98.689956665	98.7456359863	105.642730713	117.356468201	132.913619995	151.656417847	173.05140686	198.262191772	224.278747559	251.750167847	274.316436768	294.671203613	300.604553223	292.422149658	275.088653564	248.082366943	222.358734131	198.314987183	176.499694824	153.299957275	126.632789612	102.416168213	83.0895309448	68.2956085205	58.4385871887	52.1345252991	49.5405082703	48.2132110596	49.892490387	50.9806632996	51.0454330444	51.2204055786	0
Mar 10 2023 20:13:10	23989.1601563	157.791625977	139.110626221	120.502792358	112.55872345	111.413719177	123.577468872	140.859268188	160.41784668	183.196105957	211.722549438	243.813461304	280.924255371	316.645263672	352.79800415	379.715545654	398.755157471	393.733764648	368.680053711	330.806213379	283.407165527	244.326370239	214.799133301	189.208084106	161.54498291	130.458435059	103.800941467	82.9025421143	67.6507644653	57.4938240051	50.8804016113	48.1292724609	46.4565544128	47.7721138	48.6910705566	48.5652618408	48.4347190857	0
Mar 10 2023 20:13:11	22121.8417969	196.639434814	166.461883545	136.638717651	124.640716553	126.114471436	137.057418823	154.638412476	176.440170288	202.066604614	233.605285645	270.665863037	313.502258301	356.429534912	401.201904297	439.58102417	471.482727051	484.072937012	474.324707031	447.267700195	403.334991455	358.570953369	317.268676758	280.856536865	243.312988281	199.145065308	157.702590942	124.80896759	100.26574707	83.6285018921	72.6887130737	67.6302261353	64.3958435059	66.3091278076	67.5763397217	68.2422027588	68.4397583008	0
Mar 10 2023 20:13:12	24541.7597656	84.9401626587	71.366027832	56.8033027649	50.094833374	51.2163734436	57.3826446533	67.9973526001	78.5056686401	91.407951355	107.065071106	125.09727478	147.254135132	171.078384399	196.000518799	218.470581055	240.142120361	253.680099487	259.655090332	258.706512451	247.184310913	232.944961548	214.026245117	192.575332642	168.552856445	139.965621948	112.402603149	89.3285369873	70.9971618652	58.0350036621	49.279964447	44.7476387024	41.5437049866	41.9057655334	42.0517997742	42.0253448486	42.1141700745	0
Mar 10 2023 20:13:13	27488.0703125	22.07239151	12.6154317856	4.23742628098	0.460958063602	0.327767938375	2.72564601898	7.76483249664	10.3374300003	14.3527727127	17.3284339905	21.3419456482	26.2872428894	31.8698253632	37.5993118286	42.7802505493	48.5768241882	53.2250671387	55.9045600891	58.3250617981	57.8247451782	57.1536140442	54.091545105	50.0043640137	44.6451721191	37.5365486145	29.9878406525	23.4782314301	18.2620983124	14.5659828186	11.8200531006	10.3602542877	9.21867370605	9.08979988098	8.84925556183	8.87355613708	9.34501075745	0
Mar 10 2023 20:13:14	26363.6542969	37.3339958191	30.3503551483	24.1110801697	20.6114120483	22.5859241486	28.3316936493	38.4998931885	45.6156044006	53.996509552	63.1938781738	75.3009796143	89.9862213135	104.033340454	119.744812012	132.912597656	145.522338867	153.184356689	154.936630249	151.688461304	141.932525635	130.498855591	117.575889587	105.252738953	92.1054992676	76.0732574463	60.2301902771	47.3209953308	37.2826271057	30.3031196594	25.4496555328	22.8636703491	21.0471458435	21.0610179901	21.0019416809	21.0019111633	21.3946552277	0
Mar 10 2023 20:13:15	24711.5507813	108.470153809	94.141166687	81.9873962402	78.0714263916	78.2172546387	86.8646392822	101.089782715	117.038978577	135.937866211	159.018554688	184.327911377	213.698822021	244.103973389	273.768737793	298.372375488	320.287963867	326.997253418	319.040161133	300.250701904	271.336151123	242.411514282	213.820358276	186.858093262	160.20954895	130.470291138	102.407691956	80.0405273438	63.1584014893	51.3533668518	43.3026008606	39.299621582	36.5476379395	36.9780731201	37.351978302	37.5777740479	38.2548141479	0
Mar 10 2023 20:13:16	23038.3476563	122.558021545	117.22492981	109.700508118	108.804786682	111.504920959	122.278251648	136.980621338	156.49810791	178.71824646	207.216049194	239.119262695	277.122375488	314.941741943	355.258880615	389.822479248	421.04486084	434.225891113	428.977050781	407.982452393	371.453765869	333.179290771	295.019348145	258.566802979	221.908920288	180.600875854	142.370864868	112.511695862	89.7264633179	73.7103347778	63.0348091125	57.6508560181	54.2663955688	55.2132987976	55.9782180786	56.3143959045	56.5994606018	0
Mar 10 2023 20:13:17	25172.3496094	80.3173751831	63.9564933777	49.7613983154	43.4266357422	43.4065246582	48.8130455017	59.5670852661	69.0180511475	81.0979919434	94.7238006592	111.518951416	131.290267944	151.627197266	173.054138184	191.718276978	208.746749878	219.180709839	221.114349365	216.80355835	203.980789185	189.845947266	173.049789429	155.931030273	136.85723877	114.350730896	92.0389022827	73.4589614868	58.5001983643	48.0401000977	40.8642234802	37.3656959534	34.9215354919	35.5601119995	35.5368804932	35.6792602539	35.7284622192	0
Mar 10 2023 20:13:18	24314.2207031	124.515037537	109.751411438	93.8839645386	89.2193603516	90.58959198	95.7693252563	105.985771179	119.424232483	136.0756073	156.685012817	180.388442993	207.796554565	236.245864868	265.361816406	290.526885986	312.206542969	321.578735352	317.07434082	302.970611572	277.315155029	250.483169556	223.607315063	197.672424316	170.711791992	140.586151123	112.09677887	88.9500350952	71.0099105835	58.5940856934	50.2191314697	46.1462440491	43.4275741577	44.2939071655	44.5177383423	44.7863922119	44.759513855	0
Mar 10 2023 20:13:19	25453.1679688	107.636550903	93.7982406616	80.3449172974	76.3390731812	80.1680297852	87.717300415	98.5233612061	113.251846313	131.50289917	151.62612915	174.559387207	199.266983032	224.038742065	250.004882813	268.821716309	283.482757568	282.415802002	265.233886719	238.769073486	203.081420898	173.314331055	149.176208496	130.799240112	111.961112976	91.0320053101	71.6994171143	57.2303237915	46.251159668	39.0528945923	34.3553504944	32.3177642822	31.0622196198	32.117565155	32.5175132751	32.7489433289	33.031452179	0
Mar 10 2023 20:13:20	25006.3398438	124.126968384	98.0955276489	71.6155929565	57.191947937	55.0978507996	59.783657074	70.7388763428	79.8499298096	92.7693557739	107.372993469	124.717735291	145.381668091	167.927764893	190.356506348	210.663314819	228.623443604	238.211929321	236.8644104	227.549438477	208.984817505	189.180862427	169.246627808	151.081558228	131.971725464	108.559425354	86.8883666992	69.4600830078	56.4580841064	47.3236083984	41.5315208435	38.8345680237	37.0352172852	38.1215896606	38.5158233643	38.6209373474	38.6310310364	0
Mar 10 2023 20:13:21	25432.4257813	84.6386642456	68.8472137451	53.068359375	45.0290031433	49.9884757996	60.1287536621	75.1385650635	88.5459442139	104.66053772	121.61529541	142.847686768	166.146347046	191.447433472	215.182693481	233.716812134	248.618515015	251.331771851	239.824203491	217.375305176	184.944656372	155.181396484	131.612304688	116.710647583	102.690315247	84.4851074219	67.1408081055	54.00573349	44.1578979492	38.2116317749	34.475566864	33.4387054443	32.8644332886	34.6741790771	35.3016166687	35.6644248962	35.773525238	0
Mar 10 2023 20:13:22	23314.4804688	191.974380493	155.446975708	120.654914856	97.6538009644	87.4435195923	94.333442688	108.50038147	118.235671997	131.30847168	149.781784058	174.384124756	203.074874878	231.329040527	258.76260376	280.354095459	296.981719971	299.53527832	283.236541748	254.03805542	213.270523071	178.505844116	152.875152588	138.400634766	125.370239258	107.178863525	89.9219284058	76.590385437	67.263671875	62.314239502	60.1956253052	61.6207885742	63.2974357605	68.0340805054	70.1919403076	70.5210952759	69.6525192261	0
Mar 10 2023 20:13:23	27541.5742188	23.710187912	18.8546161652	12.8072280884	8.95916366577	8.26312255859	9.64303874969	12.4419393539	14.7154827118	17.5714035034	20.6149177551	24.1036663055	28.6499958038	33.2154350281	38.1103286743	41.7437820435	46.1071434021	49.1289291382	49.474521637	49.1826057434	45.9177780151	43.2179222107	39.6113090515	36.6494789124	32.9975471497	28.0269260406	22.6560764313	18.2045783997	14.4523744583	12.0966215134	10.4480457306	9.84555149078	9.3763217926	9.73024845123	9.50734138489	9.60058498383	9.76027393341	0
